,1B2,3B4,5B6,Percent Yield,Number Wasted
0,EM6B230176_1213229_10_1B2,EM6B230176_1213902_3_3B4,EM6B230176_1213584_3_5B6,90.0,0
1,EM6B230176_1213217_9_1B2,EM6B230176_1213014_1_3B4,EM6B230176_1213214_7_5B6,80.0,0
2,EM6B230176_1212791_10_1B2,EM6B230176_1213588_5_3B4,EM6B230176_1213233_6_5B6,80.0,0
3,EM6B230176_1213001_7_1B2,EM6B230176_1213586_5_3B4,EM6B230176_1213591_10_5B6,80.0,0
4,EM6B230176_1213901_10_1B2,EM6B230176_1213014_9_3B4,EM6B230176_1212999_8_5B6,80.0,0
5,EM6B230176_1213582_10_1B2,EM6B230176_1212981_8_3B4,EM6B230176_1213212_10_5B6,80.0,0
6,EM6B230176_1213901_8_1B2,EM6B230176_1213021_10_3B4,EM6B230176_1213212_5_5B6,80.0,0
7,EM6B230176_1213008_10_1B2,EM6B230176_1213581_1_3B4,EM6B230176_1212995_3_5B6,80.0,0
8,EM6B230176_1212978_3_1B2,EM6B230176_1213230_7_3B4,EM6B230176_1213212_3_5B6,80.0,0
9,EM6B230176_1213224_2_1B2,EM6B230176_1213232_9_3B4,EM6B230176_1213591_9_5B6,80.0,0
10,EM6B230176_1212997_8_1B2,EM6B230176_1213220_5_3B4,EM6B230176_1212777_6_5B6,80.0,0
11,EM6B230176_1212988_4_1B2,EM6B230176_1213588_9_3B4,EM6B230176_1213233_7_5B6,90.0,1
12,EM6B230176_1213234_10_1B2,EM6B230176_1213215_9_3B4,EM6B230176_1213225_4_5B6,80.0,1
13,EM6B230176_1213018_7_1B2,EM6B230176_1213220_6_3B4,EM6B230176_1212999_3_5B6,80.0,1
14,EM6B230176_1212791_3_1B2,EM6B230176_1213232_1_3B4,EM6B230176_1212990_7_5B6,80.0,1
15,EM6B230176_1213592_3_1B2,EM6B230176_1213232_10_3B4,EM6B230176_1213015_5_5B6,80.0,1
16,EM6B230176_1213580_6_1B2,EM6B230176_1212796_7_3B4,EM6B230176_1213009_5_5B6,80.0,1
17,EM6B230176_1213229_2_1B2,EM6B230176_1213586_6_3B4,EM6B230176_1213233_10_5B6,80.0,1
18,EM6B230176_1213018_8_1B2,EM6B230176_1213005_4_3B4,EM6B230176_1213589_3_5B6,80.0,1
19,EM6B230176_1212978_5_1B2,EM6B230176_1213588_10_3B4,EM6B230176_1213591_5_5B6,80.0,1
20,EM6B230176_1213234_4_1B2,EM6B230176_1213230_8_3B4,EM6B230176_1213589_5_5B6,80.0,1
21,EM6B230176_1212987_4_1B2,EM6B230176_1213590_6_3B4,EM6B230176_1213584_4_5B6,80.0,1
22,EM6B230176_1212989_8_1B2,EM6B230176_1213005_6_3B4,EM6B230176_1213212_6_5B6,80.0,1
23,EM6B230176_1213580_3_1B2,EM6B230176_1213230_10_3B4,EM6B230176_1213225_2_5B6,80.0,1
24,EM6B230176_1213001_5_1B2,EM6B230176_1213590_3_3B4,EM6B230176_1213591_7_5B6,80.0,1
25,EM6B230176_1213234_2_1B2,EM6B230176_1213007_4_3B4,EM6B230176_1213584_10_5B6,80.0,1
26,EM6B230176_1213234_5_1B2,EM6B230176_1212992_8_3B4,EM6B230176_1213015_8_5B6,80.0,1
27,EM6B230176_1212994_2_1B2,EM6B230176_1213902_2_3B4,EM6B230176_1213233_1_5B6,90.0,2
28,EM6B230176_1213582_8_1B2,EM6B230176_1213021_5_3B4,EM6B230176_1213233_9_5B6,80.0,2
29,EM6B230176_1213008_8_1B2,EM6B230176_1213014_4_3B4,EM6B230176_1212976_4_5B6,80.0,2
30,EM6B230176_1212987_9_1B2,EM6B230176_1213230_5_3B4,EM6B230176_1213231_6_5B6,80.0,2
31,EM6B230176_1212987_7_1B2,EM6B230176_1213021_4_3B4,EM6B230176_1213585_5_5B6,80.0,2
32,EM6B230176_1212794_8_1B2,EM6B230176_1212992_3_3B4,EM6B230176_1212996_9_5B6,80.0,2
33,EM6B230176_1213901_3_1B2,EM6B230176_1213014_8_3B4,EM6B230176_1212996_8_5B6,80.0,2
34,EM6B230176_1212980_2_1B2,EM6B230176_1213010_4_3B4,EM6B230176_1213212_1_5B6,80.0,2
35,EM6B230176_1213018_2_1B2,EM6B230176_1213586_9_3B4,EM6B230176_1213233_2_5B6,80.0,2
36,EM6B230176_1212969_8_1B2,EM6B230176_1213007_8_3B4,EM6B230176_1212999_5_5B6,70.0,2
37,EM6B230176_1213229_7_1B2,EM6B230176_1213215_10_3B4,EM6B230176_1212975_5_5B6,70.0,2
